chapter,model,prec,group,qid,qlabel,rep_idx,max_tokens,tag,tokens,decode_tps,ttft_s,rep_score,sha256_16,outfile
ch1.1,q27b-fp8,fp8,q27b,1,essay,1,4096,OK,4096,35.09,1.22,0.063,d10b3a3f43674e57,/tmp/v100_ch1.1_021/q27b-fp8_q1_run1.txt
ch1.1,q27b-fp8,fp8,q27b,1,essay,2,4096,OK,4096,35.07,1.23,0.063,d10b3a3f43674e57,/tmp/v100_ch1.1_021/q27b-fp8_q1_run2.txt
ch1.1,q27b-fp8,fp8,q27b,1,essay,3,4096,OK,4096,35.05,1.21,0.063,d10b3a3f43674e57,/tmp/v100_ch1.1_021/q27b-fp8_q1_run3.txt
ch1.1,q27b-fp8,fp8,q27b,1,essay,4,4096,OK,4096,35.05,1.21,0.063,d10b3a3f43674e57,/tmp/v100_ch1.1_021/q27b-fp8_q1_run4.txt
ch1.1,q27b-fp8,fp8,q27b,1,essay,5,4096,OK,4096,35.04,1.21,0.063,d10b3a3f43674e57,/tmp/v100_ch1.1_021/q27b-fp8_q1_run5.txt
ch1.1,q27b-fp8,fp8,q27b,2,factual,1,1024,OK,1024,36.18,1.41,0.062,a8daf70c12957a56,/tmp/v100_ch1.1_021/q27b-fp8_q2_run1.txt
ch1.1,q27b-fp8,fp8,q27b,3,reasoning,1,1024,OK,1024,36.14,0.55,0.097,0c051671b32180c5,/tmp/v100_ch1.1_021/q27b-fp8_q3_run1.txt
ch1.1,q27b-fp8,fp8,q27b,4,structure,1,1024,OK,1024,36.18,1.32,0.067,5a634d28b4b6c015,/tmp/v100_ch1.1_021/q27b-fp8_q4_run1.txt
ch1.1,q27b-fp8,fp8,q27b,5,code,1,1024,OK,1024,36.17,0.52,0.081,9ec73cfc4711c870,/tmp/v100_ch1.1_021/q27b-fp8_q5_run1.txt
ch1.1,q27b-fp16,fp16,q27b,1,essay,1,4096,OK,4096,37.40,0.27,0.060,1a200767dd326de1,/tmp/v100_ch1.1_021/q27b-fp16_q1_run1.txt
ch1.1,q27b-fp16,fp16,q27b,1,essay,2,4096,OK,4096,37.40,0.26,0.060,1a200767dd326de1,/tmp/v100_ch1.1_021/q27b-fp16_q1_run2.txt
ch1.1,q27b-fp16,fp16,q27b,1,essay,3,4096,OK,4096,37.40,0.26,0.060,1a200767dd326de1,/tmp/v100_ch1.1_021/q27b-fp16_q1_run3.txt
ch1.1,q27b-fp16,fp16,q27b,1,essay,4,4096,OK,4096,37.40,0.27,0.060,1a200767dd326de1,/tmp/v100_ch1.1_021/q27b-fp16_q1_run4.txt
ch1.1,q27b-fp16,fp16,q27b,1,essay,5,4096,OK,4096,37.40,0.26,0.060,1a200767dd326de1,/tmp/v100_ch1.1_021/q27b-fp16_q1_run5.txt
ch1.1,q27b-fp16,fp16,q27b,2,factual,1,1024,OK,1024,38.70,0.27,0.082,7da266535871ab18,/tmp/v100_ch1.1_021/q27b-fp16_q2_run1.txt
ch1.1,q27b-fp16,fp16,q27b,3,reasoning,1,1024,OK,1024,38.66,0.27,0.101,ee62cc7349f560dc,/tmp/v100_ch1.1_021/q27b-fp16_q3_run1.txt
ch1.1,q27b-fp16,fp16,q27b,4,structure,1,1024,OK,1024,38.70,0.26,0.069,22df36330cd7194b,/tmp/v100_ch1.1_021/q27b-fp16_q4_run1.txt
ch1.1,q27b-fp16,fp16,q27b,5,code,1,1024,OK,1024,38.68,0.27,0.058,a25c22166d80ddb7,/tmp/v100_ch1.1_021/q27b-fp16_q5_run1.txt
ch1.1,g26b-fp8,fp8,g26b,1,essay,1,4096,OK,4096,46.49,2.08,0.083,f6d26636dfd68d38,/tmp/v100_ch1.1_021/g26b-fp8_q1_run1.txt
ch1.1,g26b-fp8,fp8,g26b,1,essay,2,4096,OK,4096,46.47,0.18,0.072,058a6af7c39422c2,/tmp/v100_ch1.1_021/g26b-fp8_q1_run2.txt
ch1.1,g26b-fp8,fp8,g26b,1,essay,3,4096,OK,4096,46.48,0.29,0.072,fcf712fb933feef7,/tmp/v100_ch1.1_021/g26b-fp8_q1_run3.txt
ch1.1,g26b-fp8,fp8,g26b,1,essay,4,4096,OK,4096,160.32,0.26,0.076,434ab384f4f1920e,/tmp/v100_ch1.1_021/g26b-fp8_q1_run4.txt
ch1.1,g26b-fp8,fp8,g26b,1,essay,5,4096,OK,4096,46.53,0.40,0.390,97f2409a503104e0,/tmp/v100_ch1.1_021/g26b-fp8_q1_run5.txt
ch1.1,g26b-fp8,fp8,g26b,2,factual,1,1024,OK,1024,65.56,1.15,0.049,c763652a84bbb808,/tmp/v100_ch1.1_021/g26b-fp8_q2_run1.txt
ch1.1,g26b-fp8,fp8,g26b,3,reasoning,1,1024,OK,1024,67.89,1.16,0.057,ae2d07be585e1684,/tmp/v100_ch1.1_021/g26b-fp8_q3_run1.txt
ch1.1,g26b-fp8,fp8,g26b,4,structure,1,1024,OK,1024,65.64,1.34,0.060,197d9eedf24a1324,/tmp/v100_ch1.1_021/g26b-fp8_q4_run1.txt
ch1.1,g26b-fp8,fp8,g26b,5,code,1,1024,OK,1024,65.08,0.92,0.048,a0d7833d364d5aff,/tmp/v100_ch1.1_021/g26b-fp8_q5_run1.txt
ch1.1,g26b-fp16,fp16,g26b,1,essay,1,4096,OK,4096,12.91,6.35,0.076,45a1d1b6c74efefa,/tmp/v100_ch1.1_021/g26b-fp16_q1_run1.txt
ch1.1,g26b-fp16,fp16,g26b,1,essay,2,4096,OK,4096,10.20,3.86,0.084,8b71c09f9c1febb5,/tmp/v100_ch1.1_021/g26b-fp16_q1_run2.txt
ch1.1,g26b-fp16,fp16,g26b,1,essay,3,4096,OK,4096,10.20,0.30,0.084,8b71c09f9c1febb5,/tmp/v100_ch1.1_021/g26b-fp16_q1_run3.txt
ch1.1,g26b-fp16,fp16,g26b,1,essay,4,4096,OK,4096,10.20,0.30,0.084,8b71c09f9c1febb5,/tmp/v100_ch1.1_021/g26b-fp16_q1_run4.txt
ch1.1,g26b-fp16,fp16,g26b,1,essay,5,4096,OK,4096,10.20,0.32,0.084,8b71c09f9c1febb5,/tmp/v100_ch1.1_021/g26b-fp16_q1_run5.txt
ch1.1,g26b-fp16,fp16,g26b,2,factual,1,1024,OK,1024,10.89,6.16,0.040,4eedb20640c40c08,/tmp/v100_ch1.1_021/g26b-fp16_q2_run1.txt
ch1.1,g26b-fp16,fp16,g26b,3,reasoning,1,1024,OK,1024,11.23,14.69,0.066,1502ad25b290480a,/tmp/v100_ch1.1_021/g26b-fp16_q3_run1.txt
ch1.1,g26b-fp16,fp16,g26b,4,structure,1,1024,OK,1024,10.91,0.85,0.059,20f06afee486a2f3,/tmp/v100_ch1.1_021/g26b-fp16_q4_run1.txt
ch1.1,g26b-fp16,fp16,g26b,5,code,1,1024,OK,1024,10.89,6.03,0.050,a60452809c6f4f69,/tmp/v100_ch1.1_021/g26b-fp16_q5_run1.txt
ch1.1,g31b-fp8,fp8,g31b,1,essay,1,4096,OK,4096,17.54,1.59,0.085,9a74a55948f5e7bc,/tmp/v100_ch1.1_021/g31b-fp8_q1_run1.txt
ch1.1,g31b-fp8,fp8,g31b,1,essay,2,4096,OK,4096,17.53,0.45,0.085,9a74a55948f5e7bc,/tmp/v100_ch1.1_021/g31b-fp8_q1_run2.txt
ch1.1,g31b-fp8,fp8,g31b,1,essay,3,4096,OK,4096,17.53,0.45,0.085,9a74a55948f5e7bc,/tmp/v100_ch1.1_021/g31b-fp8_q1_run3.txt
ch1.1,g31b-fp8,fp8,g31b,1,essay,4,4096,OK,4096,17.52,0.45,0.085,9a74a55948f5e7bc,/tmp/v100_ch1.1_021/g31b-fp8_q1_run4.txt
ch1.1,g31b-fp8,fp8,g31b,1,essay,5,4096,OK,4096,17.52,0.45,0.085,9a74a55948f5e7bc,/tmp/v100_ch1.1_021/g31b-fp8_q1_run5.txt
ch1.1,g31b-fp8,fp8,g31b,2,factual,1,1024,OK,1024,22.73,1.83,0.056,3dc38dda24783a97,/tmp/v100_ch1.1_021/g31b-fp8_q2_run1.txt
ch1.1,g31b-fp8,fp8,g31b,3,reasoning,1,1024,OK,1024,22.29,0.55,0.071,f7640046acce1f71,/tmp/v100_ch1.1_021/g31b-fp8_q3_run1.txt
ch1.1,g31b-fp8,fp8,g31b,4,structure,1,1024,OK,1024,22.78,1.73,0.066,544864a5577c5a5c,/tmp/v100_ch1.1_021/g31b-fp8_q4_run1.txt
ch1.1,g31b-fp8,fp8,g31b,5,code,1,1024,OK,1024,22.54,0.53,0.045,1e81d1479c5aef28,/tmp/v100_ch1.1_021/g31b-fp8_q5_run1.txt
ch1.1,g31b-fp16,fp16,g31b,1,essay,1,4096,OK,4096,17.61,0.17,0.082,01d81b69b03c51e8,/tmp/v100_ch1.1_021/g31b-fp16_q1_run1.txt
ch1.1,g31b-fp16,fp16,g31b,1,essay,2,4096,OK,4096,17.61,0.16,0.088,41f4541a159a11a5,/tmp/v100_ch1.1_021/g31b-fp16_q1_run2.txt
ch1.1,g31b-fp16,fp16,g31b,1,essay,3,4096,OK,4096,17.61,0.18,0.088,41f4541a159a11a5,/tmp/v100_ch1.1_021/g31b-fp16_q1_run3.txt
ch1.1,g31b-fp16,fp16,g31b,1,essay,4,4096,OK,4096,17.61,0.17,0.088,41f4541a159a11a5,/tmp/v100_ch1.1_021/g31b-fp16_q1_run4.txt
ch1.1,g31b-fp16,fp16,g31b,1,essay,5,4096,OK,4096,17.61,0.16,0.088,41f4541a159a11a5,/tmp/v100_ch1.1_021/g31b-fp16_q1_run5.txt
ch1.1,g31b-fp16,fp16,g31b,2,factual,1,1024,OK,1024,23.20,0.16,0.046,47785a88361d63c7,/tmp/v100_ch1.1_021/g31b-fp16_q2_run1.txt
ch1.1,g31b-fp16,fp16,g31b,3,reasoning,1,1024,OK,1024,22.73,0.16,0.061,527d1c1a98aafacf,/tmp/v100_ch1.1_021/g31b-fp16_q3_run1.txt
ch1.1,g31b-fp16,fp16,g31b,4,structure,1,1024,OK,1024,23.25,0.16,0.074,c67d4915f5c528d1,/tmp/v100_ch1.1_021/g31b-fp16_q4_run1.txt
