chapter,model,prec,group,qid,qlabel,rep_idx,max_tokens,tag,tokens,decode_tps,ttft_s,rep_score,sha256_16,outfile
ch1.2,q27b-fp8,fp8,q27b,1,essay,1,4096,OK,4096,38.62,1.65,0.063,d10b3a3f43674e57,/tmp/v100_ch1.2_019cu126/q27b-fp8_q1_run1.txt
ch1.2,q27b-fp8,fp8,q27b,1,essay,2,4096,OK,4096,38.59,1.21,0.063,d10b3a3f43674e57,/tmp/v100_ch1.2_019cu126/q27b-fp8_q1_run2.txt
ch1.2,q27b-fp8,fp8,q27b,1,essay,3,4096,OK,4096,38.57,1.21,0.063,d10b3a3f43674e57,/tmp/v100_ch1.2_019cu126/q27b-fp8_q1_run3.txt
ch1.2,q27b-fp8,fp8,q27b,1,essay,4,4096,OK,4096,38.52,1.21,0.063,d10b3a3f43674e57,/tmp/v100_ch1.2_019cu126/q27b-fp8_q1_run4.txt
ch1.2,q27b-fp8,fp8,q27b,1,essay,5,4096,OK,4096,38.56,1.21,0.063,d10b3a3f43674e57,/tmp/v100_ch1.2_019cu126/q27b-fp8_q1_run5.txt
ch1.2,q27b-fp8,fp8,q27b,2,factual,1,1024,OK,1024,39.94,1.41,0.062,a8daf70c12957a56,/tmp/v100_ch1.2_019cu126/q27b-fp8_q2_run1.txt
ch1.2,q27b-fp8,fp8,q27b,3,reasoning,1,1024,OK,1024,39.89,0.54,0.097,0c051671b32180c5,/tmp/v100_ch1.2_019cu126/q27b-fp8_q3_run1.txt
ch1.2,q27b-fp8,fp8,q27b,4,structure,1,1024,OK,1024,39.93,1.32,0.067,5a634d28b4b6c015,/tmp/v100_ch1.2_019cu126/q27b-fp8_q4_run1.txt
ch1.2,q27b-fp8,fp8,q27b,5,code,1,1024,OK,1024,39.91,0.52,0.081,9ec73cfc4711c870,/tmp/v100_ch1.2_019cu126/q27b-fp8_q5_run1.txt
ch1.2,q27b-fp16,fp16,q27b,1,essay,1,4096,OK,4096,41.51,0.29,0.062,07de3cfb0976e1fb,/tmp/v100_ch1.2_019cu126/q27b-fp16_q1_run1.txt
ch1.2,q27b-fp16,fp16,q27b,1,essay,2,4096,OK,4096,41.53,0.28,0.062,07de3cfb0976e1fb,/tmp/v100_ch1.2_019cu126/q27b-fp16_q1_run2.txt
ch1.2,q27b-fp16,fp16,q27b,1,essay,3,4096,OK,4096,41.52,0.28,0.062,07de3cfb0976e1fb,/tmp/v100_ch1.2_019cu126/q27b-fp16_q1_run3.txt
ch1.2,q27b-fp16,fp16,q27b,1,essay,4,4096,OK,4096,41.52,0.27,0.062,07de3cfb0976e1fb,/tmp/v100_ch1.2_019cu126/q27b-fp16_q1_run4.txt
ch1.2,q27b-fp16,fp16,q27b,1,essay,5,4096,OK,4096,41.53,0.28,0.062,07de3cfb0976e1fb,/tmp/v100_ch1.2_019cu126/q27b-fp16_q1_run5.txt
ch1.2,q27b-fp16,fp16,q27b,2,factual,1,1024,OK,1024,43.10,0.28,0.065,afabd72a5b5c978f,/tmp/v100_ch1.2_019cu126/q27b-fp16_q2_run1.txt
ch1.2,q27b-fp16,fp16,q27b,3,reasoning,1,1024,OK,1024,43.04,0.27,0.101,ee62cc7349f560dc,/tmp/v100_ch1.2_019cu126/q27b-fp16_q3_run1.txt
ch1.2,q27b-fp16,fp16,q27b,4,structure,1,1024,OK,1024,43.09,0.27,0.069,a6d5c458dbd17aa9,/tmp/v100_ch1.2_019cu126/q27b-fp16_q4_run1.txt
ch1.2,q27b-fp16,fp16,q27b,5,code,1,1024,OK,1024,43.07,0.27,0.058,a25c22166d80ddb7,/tmp/v100_ch1.2_019cu126/q27b-fp16_q5_run1.txt
ch1.2,q35b-fp8,fp8,q35b,1,essay,1,4096,OK,4096,79.09,1.88,0.055,c46cfbd0d8407011,/tmp/v100_ch1.2_019cu126/q35b-fp8_q1_run1.txt
ch1.2,q35b-fp8,fp8,q35b,1,essay,2,4096,OK,4096,79.12,2.19,0.055,c46cfbd0d8407011,/tmp/v100_ch1.2_019cu126/q35b-fp8_q1_run2.txt
ch1.2,q35b-fp8,fp8,q35b,1,essay,3,4096,OK,4096,79.11,2.17,0.055,c46cfbd0d8407011,/tmp/v100_ch1.2_019cu126/q35b-fp8_q1_run3.txt
ch1.2,q35b-fp8,fp8,q35b,1,essay,4,4096,OK,4096,79.11,2.17,0.055,c46cfbd0d8407011,/tmp/v100_ch1.2_019cu126/q35b-fp8_q1_run4.txt
ch1.2,q35b-fp8,fp8,q35b,1,essay,5,4096,OK,4096,79.12,2.17,0.055,c46cfbd0d8407011,/tmp/v100_ch1.2_019cu126/q35b-fp8_q1_run5.txt
ch1.2,q35b-fp8,fp8,q35b,2,factual,1,1024,OK,1024,82.42,2.35,0.089,f71ed854a7c77c2e,/tmp/v100_ch1.2_019cu126/q35b-fp8_q2_run1.txt
ch1.2,q35b-fp8,fp8,q35b,3,reasoning,1,1024,OK,1024,82.41,2.50,0.097,ee66604779e0ff4b,/tmp/v100_ch1.2_019cu126/q35b-fp8_q3_run1.txt
ch1.2,q35b-fp8,fp8,q35b,4,structure,1,1024,OK,1024,82.58,2.05,0.065,30c50bca658f2396,/tmp/v100_ch1.2_019cu126/q35b-fp8_q4_run1.txt
ch1.2,q35b-fp8,fp8,q35b,5,code,1,1024,OK,1024,82.55,2.24,0.048,ff56c3b2b3324545,/tmp/v100_ch1.2_019cu126/q35b-fp8_q5_run1.txt
ch1.2,q35b-fp16,fp16,q35b,1,essay,1,4096,OK,4096,15.77,6.19,0.059,689b61a2ce3beeeb,/tmp/v100_ch1.2_019cu126/q35b-fp16_q1_run1.txt
ch1.2,q35b-fp16,fp16,q35b,1,essay,2,4096,OK,4096,15.77,0.75,0.059,689b61a2ce3beeeb,/tmp/v100_ch1.2_019cu126/q35b-fp16_q1_run2.txt
ch1.2,q35b-fp16,fp16,q35b,1,essay,3,4096,OK,4096,15.77,0.74,0.059,689b61a2ce3beeeb,/tmp/v100_ch1.2_019cu126/q35b-fp16_q1_run3.txt
ch1.2,q35b-fp16,fp16,q35b,1,essay,4,4096,OK,4096,15.77,0.74,0.059,689b61a2ce3beeeb,/tmp/v100_ch1.2_019cu126/q35b-fp16_q1_run4.txt
ch1.2,q35b-fp16,fp16,q35b,1,essay,5,4096,OK,4096,15.77,0.74,0.059,689b61a2ce3beeeb,/tmp/v100_ch1.2_019cu126/q35b-fp16_q1_run5.txt
ch1.2,q35b-fp16,fp16,q35b,2,factual,1,1024,OK,1024,15.90,6.49,0.075,cada669571e7b379,/tmp/v100_ch1.2_019cu126/q35b-fp16_q2_run1.txt
ch1.2,q35b-fp16,fp16,q35b,3,reasoning,1,1024,OK,1024,15.90,6.39,0.077,2153dcd335c3a7bb,/tmp/v100_ch1.2_019cu126/q35b-fp16_q3_run1.txt
ch1.2,q35b-fp16,fp16,q35b,4,structure,1,1024,OK,1024,15.90,0.79,0.056,83a2f560094e715f,/tmp/v100_ch1.2_019cu126/q35b-fp16_q4_run1.txt
ch1.2,q35b-fp16,fp16,q35b,5,code,1,1024,OK,1024,15.90,6.17,0.049,082c0e3c0288d7e4,/tmp/v100_ch1.2_019cu126/q35b-fp16_q5_run1.txt
