model,prec,engine,tp,quality,exactness,dC1,dC2,dC4,dC8,aggC8,ttft_long_cold_mono,ttft_long_cold_chunk,ttft_long_warm,ttft_long_cold_fa,ttft_short_cold,ttft_short_warm,decode_src,ttft_mono_src,ttft_both_src
q27b,fp8,021,2,suspect,Exact,31.69,23.92,18.82,12.11,96.91,62.35,63.673,3.319,30.88,3.090,0.749,results/perf_v2_q27b_fp8_021_20260620_181033,results/perf_v2_q27b_fp8_021_20260620_181033,results/perf_v2_q27b_fp8_021_20260621_112031
q27b,fp16,021,4,suspect,Exact,35.37,28.48,27.71,27.41,219.26,25.97,27.182,1.776,11.97,1.815,0.296,results/perf_v2_q27b_fp16_021_20260621_034910,results/perf_v2_q27b_fp16_021_20260621_034910,results/perf_v2_q27b_fp16_021_20260621_113153
q27b4,fp8,021,4,suspect,Exact,46.13,37.12,28.49,20.31,162.45,32.22,33.431,2.013,,1.730,0.455,results/perf_v2_q27b4_fp8_021_20260621_182713,results/perf_v2_q27b4_fp8_021_20260621_182713,results/perf_v2_q27b4_fp8_021_20260621_183822
q35b,fp8,021,4,suspect,Stable,74.92,63.35,58.76,47.70,381.59,14.28,72.341,4.338,72.34,8.698,3.476,results/perf_v2_q35b_fp8_021_20260620_183825,results/perf_v2_q35b_fp8_021_20260620_183825,results/perf_v2_q35b_fp8_021_20260621_114157
q35b,fp16,021,4,suspect,Exact,55.93,39.97,26.77,21.40,171.17,12.65,14.219,0.693,10.07,1.621,0.251,results/perf_v2_q35b_fp16_021_20260620_185300,results/perf_v2_q35b_fp16_021_20260620_185300,results/perf_v2_q35b_fp16_021_20260621_115542
q122b,fp8,021,8,suspect,Stable,56.64,46.41,41.52,30.69,245.51,18.70,88.430,5.346,87.38,12.496,4.978,results/perf_v2_q122b_fp8_021_20260620_190856,results/perf_v2_q122b_fp8_021_20260620_190856,results/perf_v2_q122b_fp8_021_20260621_120548
q122b,int4,021,8,suspect,Exact,58.14,46.30,40.84,36.75,294.01,19.92,25.650,1.233,,2.980,0.773,results/perf_v2_q122b_int4_021_20260620_192555,results/perf_v2_q122b_int4_021_20260620_192555,results/perf_v2_q122b_int4_021_20260621_122307
glm,fp8,021,8,pass,Stable,65.45,51.69,38.00,26.00,208.00,42.06,66.942,0.752,49.35,3.794,0.433,results/perf_v2_glm_fp8_021_20260620_194734,results/perf_v2_glm_fp8_021_20260621_065648,results/perf_v2_glm_fp8_021_20260621_123243
g31b,fp8,021,4,pass,Exact,35.28,28.25,19.65,12.68,101.47,196.03,196.400,2.323,,2.951,0.208,results/perf_v2_g31b_fp8_021_20260621_042216,results/perf_v2_g31b_fp8_021_20260621_071413,results/perf_v2_g31b_fp8_021_20260621_124239
g31b,fp16,021,4,pass,Exact,26.73,24.07,21.43,17.08,136.66,185.82,186.170,1.756,,2.234,0.212,results/perf_v2_g31b_fp16_021_20260621_043546,results/perf_v2_g31b_fp16_021_20260621_072907,results/perf_v2_g31b_fp16_021_20260621_125441
