model,arch,precision,tp,users,per_user_toks,aggregate_toks,fp8_over_fp16,engine,maxlen,gentok,run_dir,date
Qwen3.5-27B,dense,fp16,4,1,39.08,39.08,,vllm021-cu126,4096,512,q27b_exact_triad_20260624_113728,2026-06-24
Qwen3.5-27B,dense,fp16,4,2,31.11,62.22,,vllm021-cu126,4096,512,q27b_exact_triad_20260624_113728,2026-06-24
Qwen3.5-27B,dense,fp16,4,4,30.30,121.18,,vllm021-cu126,4096,512,q27b_exact_triad_20260624_113728,2026-06-24
Qwen3.5-27B,dense,fp16,4,8,29.30,234.36,,vllm021-cu126,4096,512,q27b_exact_triad_20260624_113728,2026-06-24
Qwen3.5-27B,dense,fp8_w8a16,4,1,52.50,52.50,1.34,vllm021-cu126,4096,512,q27b_exact_triad_20260624_113728,2026-06-24
Qwen3.5-27B,dense,fp8_w8a16,4,2,42.52,85.03,1.37,vllm021-cu126,4096,512,q27b_exact_triad_20260624_113728,2026-06-24
Qwen3.5-27B,dense,fp8_w8a16,4,4,31.73,126.89,1.05,vllm021-cu126,4096,512,q27b_exact_triad_20260624_113728,2026-06-24
Qwen3.5-27B,dense,fp8_w8a16,4,8,20.29,162.34,0.69,vllm021-cu126,4096,512,q27b_exact_triad_20260624_113728,2026-06-24
Qwen3.5-27B,dense,gptq_int4,4,1,58.59,58.59,,vllm021-cu126,4096,512,gptq021_q27b_20260626_014949,2026-06-26
Qwen3.5-27B,dense,gptq_int4,4,2,47.78,95.58,,vllm021-cu126,4096,512,gptq021_q27b_20260626_014949,2026-06-26
Qwen3.5-27B,dense,gptq_int4,4,4,44.73,178.93,,vllm021-cu126,4096,512,gptq021_q27b_20260626_014949,2026-06-26
Qwen3.5-27B,dense,gptq_int4,4,8,38.56,308.49,,vllm021-cu126,4096,512,gptq021_q27b_20260626_014949,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,fp16,4,1,66.20,66.20,,vllm021-cu126,4096,512,q35b_exact_triad_20260624_115648,2026-06-24
Qwen3.5-35B-A3B,moe_a3b,fp16,4,2,45.43,90.86,,vllm021-cu126,4096,512,q35b_exact_triad_20260624_115648,2026-06-24
Qwen3.5-35B-A3B,moe_a3b,fp16,4,4,29.55,118.20,,vllm021-cu126,4096,512,q35b_exact_triad_20260624_115648,2026-06-24
Qwen3.5-35B-A3B,moe_a3b,fp16,4,8,22.92,183.34,,vllm021-cu126,4096,512,q35b_exact_triad_20260624_115648,2026-06-24
Qwen3.5-35B-A3B,moe_a3b,fp8_w8a16,4,1,92.96,92.96,1.40,vllm021-cu126,4096,512,q35b_exact_triad_20260624_115648,2026-06-24
Qwen3.5-35B-A3B,moe_a3b,fp8_w8a16,4,2,77.59,155.18,1.71,vllm021-cu126,4096,512,q35b_exact_triad_20260624_115648,2026-06-24
Qwen3.5-35B-A3B,moe_a3b,fp8_w8a16,4,4,72.36,289.42,2.45,vllm021-cu126,4096,512,q35b_exact_triad_20260624_115648,2026-06-24
Qwen3.5-35B-A3B,moe_a3b,fp8_w8a16,4,8,54.93,439.42,2.40,vllm021-cu126,4096,512,q35b_exact_triad_20260624_115648,2026-06-24
Qwen3.5-35B-A3B,moe_a3b,gptq_int4,4,1,98.97,98.97,,vllm021-cu126,4096,512,gptq021_q35b_20260626_014949,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,gptq_int4,4,2,78.92,157.85,,vllm021-cu126,4096,512,gptq021_q35b_20260626_014949,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,gptq_int4,4,4,71.09,284.34,,vllm021-cu126,4096,512,gptq021_q35b_20260626_014949,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,gptq_int4,4,8,64.20,513.60,,vllm021-cu126,4096,512,gptq021_q35b_20260626_014949,2026-06-26
Qwen3.5-27B,dense,fp16,2,1,,,,vllm021-cu126,4096,512,q27b_exact_triad_tp2_20260624_174257,2026-06-24
Qwen3.5-27B,dense,fp16,2,2,,,,vllm021-cu126,4096,512,q27b_exact_triad_tp2_20260624_174257,2026-06-24
Qwen3.5-27B,dense,fp16,2,4,,,,vllm021-cu126,4096,512,q27b_exact_triad_tp2_20260624_174257,2026-06-24
Qwen3.5-27B,dense,fp16,2,8,,,,vllm021-cu126,4096,512,q27b_exact_triad_tp2_20260624_174257,2026-06-24
Qwen3.5-27B,dense,fp8_w8a16,2,1,34.01,34.01,,vllm021-cu126,4096,512,q27b_exact_triad_tp2_20260624_174257,2026-06-24
Qwen3.5-27B,dense,fp8_w8a16,2,2,26.18,52.34,,vllm021-cu126,4096,512,q27b_exact_triad_tp2_20260624_174257,2026-06-24
Qwen3.5-27B,dense,fp8_w8a16,2,4,18.63,74.54,,vllm021-cu126,4096,512,q27b_exact_triad_tp2_20260624_174257,2026-06-24
Qwen3.5-27B,dense,fp8_w8a16,2,8,12.42,99.36,,vllm021-cu126,4096,512,q27b_exact_triad_tp2_20260624_174257,2026-06-24
Qwen3.5-27B,dense,gptq_int4,2,1,38.87,38.87,,vllm021-cu126,4096,512,gptq021_q27b_20260626_014949,2026-06-26
Qwen3.5-27B,dense,gptq_int4,2,2,31.55,63.09,,vllm021-cu126,4096,512,gptq021_q27b_20260626_014949,2026-06-26
Qwen3.5-27B,dense,gptq_int4,2,4,30.05,120.22,,vllm021-cu126,4096,512,gptq021_q27b_20260626_014949,2026-06-26
Qwen3.5-27B,dense,gptq_int4,2,8,24.57,196.50,,vllm021-cu126,4096,512,gptq021_q27b_20260626_014949,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,fp16,2,1,,,,vllm021-cu126,4096,512,q35b_exact_triad_tp2_20260624_174257,2026-06-24
Qwen3.5-35B-A3B,moe_a3b,fp16,2,2,,,,vllm021-cu126,4096,512,q35b_exact_triad_tp2_20260624_174257,2026-06-24
Qwen3.5-35B-A3B,moe_a3b,fp16,2,4,,,,vllm021-cu126,4096,512,q35b_exact_triad_tp2_20260624_174257,2026-06-24
Qwen3.5-35B-A3B,moe_a3b,fp16,2,8,,,,vllm021-cu126,4096,512,q35b_exact_triad_tp2_20260624_174257,2026-06-24
Qwen3.5-35B-A3B,moe_a3b,fp8_w8a16,2,1,82.20,82.20,,vllm021-cu126,4096,512,q35b_exact_triad_tp2_20260624_174257,2026-06-24
