model,regime,tpe,R,cos,gate,route_ms,kernel_ms,unperm_ms,e2e_ms
#prepare_once_ms,146.101
glm45_air,hot1,1,1,1.0000,ok,0.0742,0.0842,0.0163,0.1521
glm45_air,hot1,2,2,1.0000,ok,0.0748,0.0840,0.0158,0.1529
glm45_air,hot1,4,4,1.0000,ok,0.0738,0.0837,0.0158,0.1519
glm45_air,hot1,8,8,1.0000,ok,0.0737,0.0855,0.0158,0.1519
glm45_air,hot8,1,8,1.0000,ok,0.0731,0.2107,0.0158,0.2295
glm45_air,hot8,2,16,1.0000,ok,0.0743,0.2101,0.0158,0.2287
glm45_air,hot8,4,32,1.0000,ok,0.0738,0.2124,0.0160,0.2320
glm45_air,hot8,8,64,1.0000,ok,0.0731,0.2153,0.0157,0.2473
glm45_air,spread,1,128,1.0000,ok,0.0736,2.7523,0.0158,2.8918
glm45_air,spread,2,256,1.0000,ok,0.0741,2.9223,0.0157,2.9754
glm45_air,spread,4,512,1.0000,ok,0.0744,3.0284,0.0201,3.0789
glm45_air,spread,8,1024,1.0000,ok,0.0749,3.1848,0.0348,3.2643
