model,regime,tpe,R,cos,gate,route_ms,kernel_ms,unperm_ms,e2e_ms
#prepare_once_ms,124.844
qwen35_a3b,hot1,1,1,1.0000,ok,0.0756,0.0602,0.0158,0.1528
qwen35_a3b,hot1,2,2,1.0000,ok,0.0751,0.0605,0.0159,0.1518
qwen35_a3b,hot1,4,4,1.0000,ok,0.0744,0.0603,0.0158,0.1513
qwen35_a3b,hot1,8,8,1.0000,ok,0.0746,0.0599,0.0162,0.1517
qwen35_a3b,hot8,1,8,1.0000,ok,0.0743,0.0647,0.0159,0.1520
qwen35_a3b,hot8,2,16,1.0000,ok,0.0753,0.0658,0.0159,0.1526
qwen35_a3b,hot8,4,32,1.0000,ok,0.0746,0.0657,0.0158,0.1521
qwen35_a3b,hot8,8,64,1.0000,ok,0.0748,0.0660,0.0158,0.1521
qwen35_a3b,spread,1,256,1.0000,ok,0.0755,1.0581,0.0159,1.1518
qwen35_a3b,spread,2,512,1.0000,ok,0.0760,1.1294,0.0159,1.1659
qwen35_a3b,spread,4,1024,1.0000,ok,0.0762,1.1769,0.0199,1.2258
qwen35_a3b,spread,8,2048,1.0000,ok,0.0762,1.2633,0.0355,1.3407
