model,regime,tpe,R,cos,gate,coalesced_kernel_ms,coalesced_e2e_ms,tiled_kernel_ms,tiled_cos,tiled_sort_ms
glm45_air,hot1,1,1,1.0000,ok,0.1685,0.1685,0.5128,1.0000,0.7280
glm45_air,hot1,2,2,1.0000,ok,0.1723,0.1723,0.5156,1.0000,0.8541
glm45_air,hot1,4,4,1.0000,ok,0.1742,0.1742,0.5167,1.0000,0.7500
glm45_air,hot1,8,8,1.0000,ok,0.3024,0.3024,0.5194,1.0000,0.7503
glm45_air,hot8,1,8,1.0000,ok,0.3041,0.3041,0.6711,1.0000,0.7499
glm45_air,hot8,2,16,1.0000,ok,0.5465,0.5465,0.6213,1.0000,0.7498
glm45_air,hot8,4,32,1.0000,ok,1.0204,1.0204,0.6187,1.0000,0.7673
glm45_air,hot8,8,64,1.0000,ok,1.9023,1.9023,0.6109,1.0000,0.7525
glm45_air,spread,1,128,1.0000,ok,3.8249,3.8249,8.3284,1.0000,0.7552
glm45_air,spread,2,256,1.0000,ok,7.6937,7.6937,8.4059,1.0000,0.7557
glm45_air,spread,4,512,1.0000,ok,15.3750,15.3750,8.4680,1.0000,0.7560
glm45_air,spread,8,1024,1.0000,ok,30.8958,30.8958,8.6989,1.0000,0.7577
