model,regime,tpe,R,cos,gate,coalesced_kernel_ms,coalesced_e2e_ms,tiled_kernel_ms,tiled_cos,tiled_sort_ms
qwen35_a3b,hot1,1,1,1.0000,ok,0.1446,0.1446,0.2412,1.0000,0.6258
qwen35_a3b,hot1,2,2,1.0000,ok,0.1467,0.1467,0.2436,1.0000,0.6429
qwen35_a3b,hot1,4,4,1.0000,ok,0.1464,0.1464,0.2441,1.0000,0.6422
qwen35_a3b,hot1,8,8,1.0000,ok,0.1486,0.1486,0.2455,1.0000,0.6457
qwen35_a3b,hot8,1,8,1.0000,ok,0.1492,0.1492,0.2567,1.0000,0.6446
qwen35_a3b,hot8,2,16,1.0000,ok,0.1495,0.1495,0.2567,1.0000,0.7030
qwen35_a3b,hot8,4,32,1.0000,ok,0.2405,0.2405,0.2577,1.0000,0.6566
qwen35_a3b,hot8,8,64,1.0000,ok,0.4452,0.4452,0.2548,1.0000,0.6449
qwen35_a3b,spread,1,256,1.0000,ok,1.7042,1.7042,2.7323,1.0000,0.6434
qwen35_a3b,spread,2,512,1.0000,ok,3.0342,3.0342,2.7168,1.0000,0.6430
qwen35_a3b,spread,4,1024,1.0000,ok,6.0747,6.0747,2.7320,1.0000,0.6415
qwen35_a3b,spread,8,2048,1.0000,ok,12.1278,12.1278,2.8037,1.0000,0.6437
